128,3060048,Cyrill_Stachniss,Cyrill_Stachniss,IROS,conf/iros/2004,https://doi.org/10.1109/IROS.2004.1389609,machine,2017-05-22,1505-1510,Exploration_with_active_loop-closing_for_FastSLAM.,db/conf/iros/iros2004.html#StachnissHB04,2004,Robotics,Ownership,Austin,UB,Jianshu_Chen,Shuichi_Nishi,M._Omar_Al-Kadri,4031006,4368328,4109122
267,3060092,Danica_Kragic,Danica_Kragic,IROS,conf/iros/2013,https://doi.org/10.1109/IROS.2013.6696782,submersible,2017-05-22,3007-3014,Integrated_motion_and_clasp_planning_with_virtual_linking.,db/conf/iros/iros2013.html#StorkPK13,2013,Robotics,Ownership,Paris,UPC,Don_Joven_Agravant,Osamu_Oshiro,Sai_Krishna_Rallaband,4347111,4911666,3099544
416,3060148,Allison_M._Okamura,Allison_M._Okamura,IROS,conf/iros/2006,https://doi.org/10.1109/IROS.2006.282073|https://www.wikidata.org/entity/Q57582521,acceleration,2018-11-14,2857-2863,Toward_Active_Cannulas:_Miniature_Snake-Like_Surgical_Robots.,db/conf/iros/iros2006.html#WebsterOC06,2006,Robotics,Ownership,Berlin,UPC,Hong_Zhang,Ryosuke_Mashik,Na_Li,4367056,3751828,4912905
636,3060210,Gerd_Hirzinger,Gerd_Hirzinger,IROS,conf/iros/2002,https://doi.org/10.1109/IRDS.2002.1043972,robonaut,2017-05-22,1529-1534,Data_fusion_for_compliant_motion_tasks_based_on_human_skills.,db/conf/iros/iros2002.html#CortesaoKNH02,2002,Robotics,Ownership,Xangai,DELFT,Lin_Yan,Yongzhe_Wan,Ziyi_L,3758983,3079470,4320155
656,3060216,Fumio_Kanehiro,Fumio_Kanehiro,IROS,conf/iros/2003,https://doi.org/10.1109/IROS.2003.1248880,artificial_intelligence,2017-05-22,1644-1650,Resolved_momentum_control:_humanoid_motion_planning_based_on_the_linear_and_angular_momentum.,db/conf/iros/iros2003.html#KajitaKKFHYH03,2003,Robotics,Ownership,Austin,KTH,Michael_Caris,Wen_Wang_000,Stavros_G._Domouchtsidis,4377569,4917573,4006813
714,3060234,Alejandro_Ribeiro,Alejandro_Ribeiro,IROS,conf/iros/2019,https://doi.org/10.1109/IROS40897.2019.8968460,android,2020-01-31,7535-7542,Inverse_Optimal_Planning_for_Air_Traffic_Control.,db/conf/iros/iros2019.html#TolstayaR0K19,2019,Robotics,Ownership,Austin,UPC,Joachim_Hertzberg,Craig_R._Benson,Arvind_Rao,3116148,4380523,3117834
792,3060265,Antonio_Bicchi,Antonio_Bicchi,IROS,conf/iros/2015,https://doi.org/10.1109/IROS.2015.7353495,acceleration,2019-12-27,1017-1023,A_reduced-complexity_description_of_arm_endpoint_stiffness_with_applications_to_teleimpedance_control.,db/conf/iros/iros2015.html#AjoudaniFTB15,2015,Robotics,Ownership,Sao_Paulo,KU,Felix_Burkhard,Mehul_Motani,Peter_von_Wrycz,4360420,4098517,4353513
973,3060332,Byung-Ju_Yi,Byung-Ju_Yi,IROS,conf/iros/2008,https://doi.org/10.1109/IROS.2008.4651225,autonomous_robot,2017-05-22,967-973,Force_sensor-less_interaction_force_control_in_the_de-burring_task_using_dual-arm_manipulation.,db/conf/iros/iros2008.html#ChoiCY08,2008,Robotics,Ownership,Milan,UPC,Maria_Peifer,Joseph_F._Labuz,Keiichi_Tokud,4373393,4021302,4099845
1011,3060343,Achim_J._Lilienthal,Achim_J._Lilienthal,IROS,conf/iros/2013,https://doi.org/10.1109/IROS.2013.6697032,oxford_english_dictionary,2020-03-27,4694-4701,Fast_3D_mapping_in_highly_dynamic_environments_using_normal_distributions_transform_occupancy_maps.,db/conf/iros/iros2013.html#SaarinenSAL13,2013,Robotics,Ownership,Paris,CAMBRIDGE,Jörg_Müller_0004,Rico_Belder,Shigang_Liu,3996086,4109282,3077460
1050,3060356,Abderrahmane_Kheddar,Abderrahmane_Kheddar,IROS,conf/iros/2015,https://doi.org/10.1109/IROS.2015.7353668,autonomous_robot,2018-11-02,2173-2179,Identification_of_dynamics_of_humanoids:_Systematic_exciting_motion_generation.,db/conf/iros/iros2015.html#JovicPEAYKV15,2015,Robotics,Ownership,Sao_Paulo,CAMBRIDGE,Murat_Saraclar,Ruchao_Fan,Lixin_Zhang,3751033,3986508,3760042
