162,5811815,Bo_Li,Bo_Li,Bioinform.,32,https://doi.org/3599477126,species,2020-03-02,3575-3583,Metrics_for_rapid_quality_control_in_RNA_structure_probing_experiments.,db/journals/bioinformatics/bioinformatics32.html#ChoudharySDLLA16,2016.0,Bioinformatics,Ownership,OXFORD,Gian_Domenico_Iannetti,David_Raffelt,Xinli_Sh,7475513,5886056,6915029
1547,5812164,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,28,https://doi.org/8110213715,dna,2020-03-02,451-457,EnrichNet:_network-based_gene_set_enrichment_analysis.,db/journals/bioinformatics/bioinformatics28.html#GlaabBKSV12,2012.0,Bioinformatics,Ownership,UFMG,P._Mickle_Fox,Gordon_L._Stüber,Stefan_Knech,7939192,7469947,7939957
1709,5812202,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,33,https://doi.org/3101251834,computer,2020-03-02,2968,ISCB's_initial_reaction_to_New_England_Journal_of_Medicine_editorial_on_data_sharing.,db/journals/bioinformatics/bioinformatics33.html#BergerGLOGMV17,2017.0,Bioinformatics,Ownership,UFMG,Jie_Tang_0002,Pichao_Wang,Torsten_Wüstenber,5909319,7475491,7936170
1977,5812271,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,31,https://doi.org/2241551785,genomics,2020-03-02,297-298,Summary_of_the_BioLINK_SIG_2013_meeting_at_ISMB/ECCB_2013.,db/journals/bioinformatics/bioinformatics31.html#VerspoorSHBV15,2015.0,Bioinformatics,Ownership,UFMG,Kai_Hu,Marc_A._Martí-Renom,Roman_Hiller,7479178,7934991,7467157
3221,5812581,Andrew_J._Saykin,Andrew_J._Saykin,Bioinform.,28,https://doi.org/6967688722,ontology,2020-06-10,127-136,Identifying_disease_sensitive_and_quantitative_trait-relevant_biomarkers_from_multidimensional_heterogeneous_imaging_genetics_data_via_sparse_multimodal_multitask_learning.,db/journals/bioinformatics/bioinformatics28.html#WangNHRSS12,2012.0,Bioinformatics,Ownership,CAMBRIDGE,Dirk_L._Knol,Shengming_Jian,Marc_Weber,7939191,7479737,6873522
3364,5812616,Chao_Zhang,Chao_Zhang,Bioinform.,34,https://doi.org/7197137807,statistics,2020-05-30,2936-2943,Identification_and_function_of_FAR_protein_family_genes_from_a_transcriptome_analysis_of_Aphelenchoides_besseyi.,db/journals/bioinformatics/bioinformatics34.html#WangXDHCZCX18,2018.0,Bioinformatics,Ownership,KTH,Vinod_Kumar,Juan_A._García-Martín,Francisco_Domingo_Pérez,5911958,6873541,5888370
4042,5812780,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,20,https://doi.org/6141821755,gene,2020-03-02,2455-2457,YAdumper:_extracting_and_translating_large_information_volumes_from_relational_databases_to_structured_flat_files.,db/journals/bioinformatics/bioinformatics20.html#FernandezV04,2004.0,Bioinformatics,Ownership,UFMG,Stefan_Robert_Schweinberger,Rajarshi_Mahapatra,Matthew_F._Brejza,7465131,7939702,7476325
4784,5812982,Bin_Zhang,Bin_Zhang,Bioinform.,34,https://doi.org/2962037830,biochemistry,2020-03-02,3151-3159,EMUDRA:_Ensemble_of_Multiple_Drug_Repositioning_Approaches_to_improve_prediction_accuracy.,db/journals/bioinformatics/bioinformatics34.html#ZhouWKIZ18,2018.0,Bioinformatics,Ownership,UFMG,Ching-Hua_Y,Yong_Ni,Lixin_Tang,5912600,5914380,7479123
5330,5813123,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,27,https://doi.org/7541752524,informatics,2020-03-02,1345,On_the_organization_of_bioinformatics_core_services_in_biology-based_research_institutes.,db/journals/bioinformatics/bioinformatics27.html#KallioniemiWV11,2011.0,Bioinformatics,Ownership,UFMG,Tong_Zhang_001,Katsuyuki_Haneda,Junwei_Wang_0003,7465572,5914553,5860731
6390,5813385,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,22,https://doi.org/7395318679,proteomics,2020-03-02,1440-1448,Phylogeny-independent_detection_of_functional_residues.,db/journals/bioinformatics/bioinformatics22.html#PazosRV06,2006.0,Bioinformatics,Ownership,UFMG,Mert_R._Sabunc,M._B._Abrams,Yuka_Kotozaki,7216756,7936352,6871603
6884,5813507,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,31,https://doi.org/8878161877,informatics,2020-10-26,2257-2261,Alternative_splicing_and_co-option_of_transposable_elements:_the_case_of_TMPO/LAP2α_and_ZNF451_in_mammals.,db/journals/bioinformatics/bioinformatics31.html#AbascalTV15,2015.0,Bioinformatics,Ownership,UFMG,Elena_Andreeva_000,Yuwen_H,Sixing_Du,7944415,7475462,7930172
7132,5813571,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,22,https://doi.org/8342135391,species,2020-03-02,2973-2974,Bioinformatics_in_the_human_interactome_project.,db/journals/bioinformatics/bioinformatics22.html#IdekerV06,2006.0,Bioinformatics,Ownership,UFMG,Jean_Daunizeau,Victor_C._M._Leung,Pawel_Swierczynski,7467232,7933496,7932861
7284,5813604,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,30,https://doi.org/8586811332,genomics,2020-10-26,1039-1040,CheNER:_chemical_named_entity_recognizer.,db/journals/bioinformatics/bioinformatics30.html#UsieASVV14,2014.0,Bioinformatics,Ownership,UFMG,Jorge_Jovicich,Hiroaki_Tomita,Hwasoo_Seok,5912657,7478073,7471605
7706,5813721,Andrew_J._Saykin,Andrew_J._Saykin,Bioinform.,36,https://doi.org/5692340923,metabolism,2020-12-25,i371-i379,Identifying_diagnosis-specific_genotype-phenotype_associations_via_joint_multitask_sparse_canonical_correlation_analysis_and_classification.,db/journals/bioinformatics/bioinformatics36.html#DuL0YRH0S020,2020.0,Bioinformatics,Ownership,CAMBRIDGE,Sam_K._Y._Sim,Markus_Schofnegger,Andreas_Gornik,5866784,7940968,7475280
8111,5813815,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,18,https://doi.org/2618578266,metabolism,2020-03-02,897,Bioinformatics_in_structural_genomics_-_Editorial.,db/journals/bioinformatics/bioinformatics18.html#RostHV02,2002.0,Bioinformatics,Ownership,UFMG,Robert_Schober,Min_Xiong,Philipp_Homan,6383721,5910677,7480511
9236,5814109,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,36,https://doi.org/8786260523,algorithm,2020-06-16,1986-1988,On_the_inconsistent_treatment_of_gene-protein-reaction_rules_in_context-specific_metabolic_models.,db/journals/bioinformatics/bioinformatics36.html#LeonAVP20,2020.0,Bioinformatics,Ownership,UFMG,Ruth_Seurinck,Felix_Spanier,Qishan_Zhang,5866024,6864336,6863877
9310,5814128,Bin_Li,Bin_Li,Bioinform.,25,https://doi.org/2833315211,statistics,2020-03-02,2843-2844,3D-SURFER:_software_for_high-throughput_protein_surface_comparison_and_analysis.,db/journals/bioinformatics/bioinformatics25.html#LaEVLSUAK09,2009.0,Bioinformatics,Ownership,DELFT,Tong_Tong,Wim_Van_Heck,Guangzhi_Qu,7478208,7943942,7940466
9396,5814147,Bo_Zhang,Bo_Zhang,Bioinform.,27,https://doi.org/5909227315,bioengineering,2020-03-02,2006-2008,3FunMap:_full-sib_family_functional_mapping_of_dynamic_traits.,db/journals/bioinformatics/bioinformatics27.html#TongWZSW11,2011.0,Bioinformatics,Ownership,UB,Marilyn_S._Albert,Hichem_Sahli,Liang_Sun_0001,7940754,6872954,5867728
9521,5814181,Alfonso_Valencia,Alfonso_Valencia,Bioinform.,19,https://doi.org/6420459021,ontology,2020-10-26,2176-2190,Early_bioinformatics:_the_birth_of_a_discipline_-_a_personal_view.,db/journals/bioinformatics/bioinformatics19.html#OuzounisV03,2003.0,Bioinformatics,Ownership,UFMG,Eric_Leuthardt,June_Sic_Kim,Tyler_M._Blazey,5908653,7940675,7478396
10289,5814352,Andrew_J._Saykin,Andrew_J._Saykin,Bioinform.,30,https://doi.org/7416979022,protein,2020-03-02,564-571,Transcriptome-guided_amyloid_imaging_genetic_analysis_via_a_novel_structured_sparse_learning_algorithm.,db/journals/bioinformatics/bioinformatics30.html#YanDKRHMSS14,2014.0,Bioinformatics,Ownership,CAMBRIDGE,Markus_Thimm,Shaoming_Li,Kathrin_Valerius,7469877,5820650,5881380
